emoji,unicode,category,unicodename
🫱🏻‍🫲🏾,\U0001faf1\U0001f3fb\u200d\U0001faf2\U0001f3fe,emojis & people,---
🫱🏻‍🫲🏿,\U0001faf1\U0001f3fb\u200d\U0001faf2\U0001f3ff,emojis & people,---
🫱🏼‍🫲🏻,\U0001faf1\U0001f3fc\u200d\U0001faf2\U0001f3fb,emojis & people,---
🤝🏼,\U0001f91d\U0001f3fc,emojis & people,---
🫱🏼‍🫲🏽,\U0001faf1\U0001f3fc\u200d\U0001faf2\U0001f3fd,emojis & people,---
🫱🏼‍🫲🏾,\U0001faf1\U0001f3fc\u200d\U0001faf2\U0001f3fe,emojis & people,---
🫱🏼‍🫲🏿,\U0001faf1\U0001f3fc\u200d\U0001faf2\U0001f3ff,emojis & people,---
🫱🏽‍🫲🏻,\U0001faf1\U0001f3fd\u200d\U0001faf2\U0001f3fb,emojis & people,---
🫱🏽‍🫲🏼,\U0001faf1\U0001f3fd\u200d\U0001faf2\U0001f3fc,emojis & people,---
🤝🏽,\U0001f91d\U0001f3fd,emojis & people,---
🫱🏽‍🫲🏾,\U0001faf1\U0001f3fd\u200d\U0001faf2\U0001f3fe,emojis & people,---
🫱🏽‍🫲🏿,\U0001faf1\U0001f3fd\u200d\U0001faf2\U0001f3ff,emojis & people,---
🫱🏾‍🫲🏻,\U0001faf1\U0001f3fe\u200d\U0001faf2\U0001f3fb,emojis & people,---
🫱🏾‍🫲🏼,\U0001faf1\U0001f3fe\u200d\U0001faf2\U0001f3fc,emojis & people,---
🫱🏾‍🫲🏽,\U0001faf1\U0001f3fe\u200d\U0001faf2\U0001f3fd,emojis & people,---
🤝🏾,\U0001f91d\U0001f3fe,emojis & people,---
🫱🏾‍🫲🏿,\U0001faf1\U0001f3fe\u200d\U0001faf2\U0001f3ff,emojis & people,---
🫱🏿‍🫲🏻,\U0001faf1\U0001f3ff\u200d\U0001faf2\U0001f3fb,emojis & people,---
🫱🏿‍🫲🏼,\U0001faf1\U0001f3ff\u200d\U0001faf2\U0001f3fc,emojis & people,---
🫱🏿‍🫲🏽,\U0001faf1\U0001f3ff\u200d\U0001faf2\U0001f3fd,emojis & people,---
🫱🏿‍🫲🏾,\U0001faf1\U0001f3ff\u200d\U0001faf2\U0001f3fe,emojis & people,---
🤝🏿,\U0001f91d\U0001f3ff,emojis & people,---
👍,\U0001f44d,emojis & people,THUMBS UP SIGN
👍🏻,\U0001f44d\U0001f3fb,emojis & people,---
👍🏼,\U0001f44d\U0001f3fc,emojis & people,---
👍🏽,\U0001f44d\U0001f3fd,emojis & people,---
👍🏾,\U0001f44d\U0001f3fe,emojis & people,---
👍🏿,\U0001f44d\U0001f3ff,emojis & people,---
👎,\U0001f44e,emojis & people,THUMBS DOWN SIGN
👎🏻,\U0001f44e\U0001f3fb,emojis & people,---
👎🏼,\U0001f44e\U0001f3fc,emojis & people,---
👎🏽,\U0001f44e\U0001f3fd,emojis & people,---
👎🏾,\U0001f44e\U0001f3fe,emojis & people,---
👎🏿,\U0001f44e\U0001f3ff,emojis & people,---
👊,\U0001f44a,emojis & people,FISTED HAND SIGN
👊🏻,\U0001f44a\U0001f3fb,emojis & people,---
👊🏼,\U0001f44a\U0001f3fc,emojis & people,---
👊🏽,\U0001f44a\U0001f3fd,emojis & people,---
👊🏾,\U0001f44a\U0001f3fe,emojis & people,---
👊🏿,\U0001f44a\U0001f3ff,emojis & people,---
✊,\u270a,emojis & people,RAISED FIST
✊🏻,\u270a\U0001f3fb,emojis & people,---
